MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	113.67871	Sec	2/13/1980 2:43:54 PM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-156.28996	-3.6187787	85.513672
-156.54645	-3.6310902	85.613281
-156.81767	-3.6452565	85.712891
-157.03754	-3.6584115	85.8125
-157.26428	-3.6712885	85.912109
-157.47316	-3.6853118	86.011719
-157.6956	-3.6977859	86.111328
-157.95435	-3.7101784	86.210938
-158.16399	-3.7231822	86.310547
-158.3878	-3.7374656	86.410156
-158.61475	-3.7492349	86.509766
-158.83936	-3.7627611	86.609375
-159.0661	-3.7757134	86.708984
-159.26466	-3.7893338	86.808594
-159.47957	-3.8028898	86.908203
-159.70749	-3.8156488	87.007813
-159.9245	-3.828763	87.107422
-160.13979	-3.8426325	87.207031
-160.34131	-3.8552203	87.306641
-160.54297	-3.868104	87.40625
-160.79082	-3.88077	87.505859
-161.03574	-3.8944244	87.605469
-161.23068	-3.9080558	87.705078
-161.43802	-3.9225471	87.804688
-161.68364	-3.9356916	87.904297
-161.91005	-3.9479041	88.003906
-162.1192	-3.9618833	88.103516
-162.33034	-3.9749253	88.203125
-162.54868	-3.9887273	88.302734
-162.76756	-4.0030661	88.402344
-162.97429	-4.0167274	88.501953
-163.1767	-4.029891	88.601563
-163.38326	-4.0425854	88.701172
-163.58656	-4.0565205	88.800781
-163.74998	-4.0712137	88.900391
-163.99213	-4.0834589	89
-164.19785	-4.0984268	89.099609
-164.39882	-4.1109419	89.199219
-164.60249	-4.1244502	89.298828
-164.82573	-4.1380458	89.398438
-165.07045	-4.1524081	89.498047
-165.24422	-4.1670251	89.597656
-165.44914	-4.1806316	89.697266
-165.651	-4.1959367	89.796875
-165.8315	-4.2090621	89.896484
-166.04002	-4.2221832	89.996094
-166.27426	-4.2362618	90.095703
-166.47646	-4.2500477	90.195313
-166.67973	-4.2639942	90.294922
-166.90866	-4.2770729	90.394531
-167.09947	-4.2910743	90.494141
-167.29536	-4.3057642	90.59375
-167.4977	-4.3193517	90.693359
-167.69994	-4.3331771	90.792969
-167.89214	-4.3482003	90.892578
-168.09465	-4.3626885	90.992188
-168.28349	-4.3766403	91.091797
-168.50096	-4.3904862	91.191406
-168.68593	-4.4041295	91.291016
-168.90332	-4.4175735	91.390625
-169.10789	-4.4320292	91.490234
-169.30937	-4.4464307	91.589844
-169.50589	-4.4614606	91.689453
-169.67477	-4.4756312	91.789063
-169.90742	-4.4902606	91.888672
-170.10715	-4.5052276	91.988281
-170.27513	-4.5183258	92.087891
-170.4968	-4.5326338	92.1875
-170.70023	-4.5465631	92.287109
-170.88519	-4.5608168	92.386719
-171.13728	-4.5746012	92.486328
-171.34399	-4.5888915	92.585938
-171.55455	-4.6033478	92.685547
-171.75314	-4.6183019	92.785156
-171.95984	-4.6336384	92.884766
-172.14851	-4.6482024	92.984375
-172.33995	-4.664135	93.083984
-172.51474	-4.6772952	93.183594
-172.7412	-4.692461	93.283203
-172.9493	-4.7072301	93.382813
-173.1414	-4.7202425	93.482422
-173.32568	-4.7355518	93.582031
-173.52113	-4.7502241	93.681641
-173.73016	-4.7632265	93.78125
-173.95245	-4.7785974	93.880859
-174.14043	-4.793221	93.980469
-174.32629	-4.8082027	94.080078
-174.51538	-4.8227358	94.179688
-174.71069	-4.8379493	94.279297
-174.92709	-4.8525167	94.378906
-175.18256	-4.8668194	94.478516
-175.34918	-4.8835497	94.578125
-175.53592	-4.8981237	94.677734
-175.74141	-4.9139814	94.777344
-175.93951	-4.929152	94.876953
-176.15361	-4.9444571	94.976563
-176.34171	-4.9581904	95.076172
-176.54237	-4.9727688	95.175781
-176.74251	-4.988647	95.275391
-176.92529	-5.001781	95.375
-177.12384	-5.0160627	95.474609
-177.36995	-5.0313258	95.574219
-177.56641	-5.0465732	95.673828
-177.76176	-5.061708	95.773438
-177.95032	-5.0767255	95.873047
-178.11845	-5.0920653	95.972656
-178.35034	-5.1074715	96.072266
-178.57083	-5.123621	96.171875
-178.74991	-5.1394548	96.271484
-178.92546	-5.1549578	96.371094
-179.11526	-5.170352	96.470703
-179.30724	-5.184279	96.570313
